year,title,spotify_id
1985,Stand Up for Singapore,2aIkiuxUesXTGU756fBJYD
1986,"Count on Me, Singapore",3dY7P7YoGU0gYMmFs1krC1
1987,We are Singapore,0QeDK7Aow84hUKoLrZ1mvK
1990,"One People, One Nation, One Singapore",0NsXuk0c78hzZkDr7UsIJ3
1998,Home,1vo8399T9sWFZ9vbrEcTL5
1999,Together,6lago1vFsu3gw26lgKGtwa
2000,Shine on Me,1PBxQWuUn6RFzsg30gNH0H
2001,Where I Belong,0u0a0p4hWefiy09bYqzZ2A
2002,We Will Get There,5aY2Igd9adKu3AqY1w95Xm
2003,One United People,2h5gMUxXk3OBfOX9KS5hiX
2005,Reach Out for the Skies,7phKkEWEipo3sDrZJiG9uJ
2006,My Island Home,2w5L5kQVkSRdduNewYPDA5
2007,There’s No Place I’d Rather Be,2kACPmwS9MxrNCT0vcI1nP
2007,Will you,2OmArKXeh9feaFzyE4UOKh
2008,Shine for Singapore,30QbxMta1DGgfcHUc9GfKi
2009,What Do You See,21gm9fNWcgpWyPY3a9t7FZ
2010,Song for Singapore,3S19ddIcYfyYhw7ZwKm58w
2011,In a Heartbeat,14dThbrteRM57dxmpV26a8
2012,Love at First Light,1W5ss3pBJ3W0v8gPhbLl8C
2013,One Singapore,4i0uKI1dwo2KEzLhsF8CWr
2015,Our Singapore,5WtMlbTDNZlbN8xZ5zfXva
2016,Tomorrow's Here Today,6cHJBXRYMS2vCPeO2IaSKY
2018,We are Singapore (remix),0pSehMgUmj6t3ILbwDynI3
2019,Our Singapore (remix),3UDb3MiDrkUPLMvKBWy0Sn